X	Y
115.517634	-2.285514844
113.3554718	-2.285514844
112.9951114	-2.285514844
112.6347511	-2.285514844
112.2743907	-2.285514844
111.9140304	-2.285514844
111.55367	-2.285514844
111.1933096	-2.285514844
110.8329493	-2.285514844
110.4725889	-2.285514844
110.1122286	-2.285514844
109.7518682	-2.285514844
107.589706	-2.285514844
115.517634	-5.708938268
113.3554718	-5.708938268
112.9951114	-5.708938268
112.6347511	-5.708938268
112.2743907	-5.708938268
111.9140304	-5.708938268
111.55367	-5.708938268
111.1933096	-5.708938268
110.8329493	-5.708938268
110.4725889	-5.708938268
110.1122286	-5.708938268
109.7518682	-5.708938268
107.589706	-5.708938268
115.517634	-6.069298628
113.3554718	-6.069298628
112.9951114	-6.069298628
112.6347511	-6.069298628
112.2743907	-6.069298628
111.9140304	-6.069298628
111.55367	-6.069298628
111.1933096	-6.069298628
110.8329493	-6.069298628
110.4725889	-6.069298628
110.1122286	-6.069298628
109.7518682	-6.069298628
107.589706	-6.069298628
115.517634	-6.429658988
113.3554718	-6.429658988
112.9951114	-6.429658988
112.6347511	-6.429658988
112.2743907	-6.429658988
111.9140304	-6.429658988
111.55367	-6.429658988
111.1933096	-6.429658988
110.8329493	-6.429658988
110.4725889	-6.429658988
110.1122286	-6.429658988
109.7518682	-6.429658988
107.589706	-6.429658988
115.517634	-6.790019349
113.3554718	-6.790019349
112.9951114	-6.790019349
112.6347511	-6.790019349
112.2743907	-6.790019349
111.9140304	-6.790019349
111.55367	-6.790019349
111.1933096	-6.790019349
110.8329493	-6.790019349
110.4725889	-6.790019349
110.1122286	-6.790019349
109.7518682	-6.790019349
107.589706	-6.790019349
115.517634	-7.150379709
113.3554718	-7.150379709
112.9951114	-7.150379709
112.6347511	-7.150379709
112.2743907	-7.150379709
111.9140304	-7.150379709
111.55367	-7.150379709
111.1933096	-7.150379709
110.8329493	-7.150379709
110.4725889	-7.150379709
110.1122286	-7.150379709
109.7518682	-7.150379709
107.589706	-7.150379709
115.517634	-7.51074007
113.3554718	-7.51074007
112.9951114	-7.51074007
112.6347511	-7.51074007
112.2743907	-7.51074007
111.9140304	-7.51074007
111.55367	-7.51074007
111.1933096	-7.51074007
110.8329493	-7.51074007
110.4725889	-7.51074007
110.1122286	-7.51074007
109.7518682	-7.51074007
107.589706	-7.51074007
115.517634	-7.87110043
113.3554718	-7.87110043
112.9951114	-7.87110043
112.6347511	-7.87110043
112.2743907	-7.87110043
111.9140304	-7.87110043
111.55367	-7.87110043
111.1933096	-7.87110043
110.8329493	-7.87110043
110.4725889	-7.87110043
110.1122286	-7.87110043
109.7518682	-7.87110043
107.589706	-7.87110043
115.517634	-8.23146079
113.3554718	-8.23146079
112.9951114	-8.23146079
112.6347511	-8.23146079
112.2743907	-8.23146079
111.9140304	-8.23146079
111.55367	-8.23146079
111.1933096	-8.23146079
110.8329493	-8.23146079
110.4725889	-8.23146079
110.1122286	-8.23146079
109.7518682	-8.23146079
107.589706	-8.23146079
115.517634	-8.591821151
113.3554718	-8.591821151
112.9951114	-8.591821151
112.6347511	-8.591821151
112.2743907	-8.591821151
111.9140304	-8.591821151
111.55367	-8.591821151
111.1933096	-8.591821151
110.8329493	-8.591821151
110.4725889	-8.591821151
110.1122286	-8.591821151
